Listare toti studentii din baza de date,2025-05-19 15:58:38
Listare toti profesorii din baza de date,2025-05-19 15:58:38
Listare toate materiile din baza de date,2025-05-19 15:58:38
Listare toate salile din baza de date,2025-05-19 15:58:38
Listare toate cursurile din baza de date,2025-05-19 15:58:38
Salvare profesor in baza de date,2025-05-19 15:58:55
Adaugare profesor,2025-05-19 15:58:55
Initializare baza de date,2025-05-19 15:59:07
Listare toti studentii din baza de date,2025-05-19 15:59:07
Listare toti profesorii din baza de date,2025-05-19 15:59:07
Listare toate materiile din baza de date,2025-05-19 15:59:07
Listare toate salile din baza de date,2025-05-19 15:59:08
Listare toate cursurile din baza de date,2025-05-19 15:59:08
Salvare profesor in baza de date,2025-05-19 16:07:08
Adaugare profesor,2025-05-19 16:07:08
Salvare profesor in baza de date,2025-05-19 16:07:16
Adaugare profesor,2025-05-19 16:07:16
Initializare baza de date,2025-05-19 16:07:28
Listare toti studentii din baza de date,2025-05-19 16:07:28
Listare toti profesorii din baza de date,2025-05-19 16:07:28
Listare toate materiile din baza de date,2025-05-19 16:07:28
Listare toate salile din baza de date,2025-05-19 16:07:28
Listare toate cursurile din baza de date,2025-05-19 16:07:28
Salvare materie in baza de date,2025-05-19 16:07:43
Adaugare materie,2025-05-19 16:07:43
Initializare baza de date,2025-05-19 16:07:47
Listare toti studentii din baza de date,2025-05-19 16:07:47
Listare toti profesorii din baza de date,2025-05-19 16:07:47
Listare toate materiile din baza de date,2025-05-19 16:07:47
Listare toate salile din baza de date,2025-05-19 16:07:47
Listare toate cursurile din baza de date,2025-05-19 16:07:47
Initializare baza de date,2025-05-19 16:13:22
Listare toti studentii din baza de date,2025-05-19 16:13:22
Listare toti profesorii din baza de date,2025-05-19 16:13:22
Listare toate materiile din baza de date,2025-05-19 16:13:22
Listare toate salile din baza de date,2025-05-19 16:13:22
Listare toate cursurile din baza de date,2025-05-19 16:13:22
Initializare baza de date,2025-05-19 16:13:34
Listare toti studentii din baza de date,2025-05-19 16:13:34
Listare toti profesorii din baza de date,2025-05-19 16:13:34
Listare toate materiile din baza de date,2025-05-19 16:13:34
Listare toate salile din baza de date,2025-05-19 16:13:34
Listare toate cursurile din baza de date,2025-05-19 16:13:34
Initializare baza de date,2025-05-19 16:15:13
Listare toti studentii din baza de date,2025-05-19 16:15:13
Listare toti profesorii din baza de date,2025-05-19 16:15:13
Listare toate materiile din baza de date,2025-05-19 16:15:13
Listare toate salile din baza de date,2025-05-19 16:15:13
Listare toate cursurile din baza de date,2025-05-19 16:15:14
Salvare profesor in baza de date,2025-05-19 16:15:25
Adaugare profesor,2025-05-19 16:15:25
Salvare materie in baza de date,2025-05-19 16:15:38
Adaugare materie,2025-05-19 16:15:38
Initializare baza de date,2025-05-19 16:17:55
Listare toti studentii din baza de date,2025-05-19 16:17:55
Listare toti profesorii din baza de date,2025-05-19 16:17:55
Listare toate materiile din baza de date,2025-05-19 16:17:55
Listare toate salile din baza de date,2025-05-19 16:17:55
Listare toate cursurile din baza de date,2025-05-19 16:17:55
Salvare sala in baza de date,2025-05-19 16:18:01
Adaugare sala,2025-05-19 16:18:01
Salvare sala in baza de date,2025-05-19 16:18:01
Adaugare sala,2025-05-19 16:18:01
Salvare sala in baza de date,2025-05-19 16:18:01
Adaugare sala,2025-05-19 16:18:01
Salvare sala in baza de date,2025-05-19 16:18:01
Adaugare sala,2025-05-19 16:18:01
Salvare sala in baza de date,2025-05-19 16:18:01
Adaugare sala,2025-05-19 16:18:01
Salvare materie in baza de date,2025-05-19 16:18:55
Adaugare materie,2025-05-19 16:18:55
